show_id,punctuation,type,title,director,cast,country,release_year,rating,duration_int,duration_type,listed_in
as1,3.5,movie,the grand seduction,don mckellar,"brendan gleeson, taylor kitsch, gordon pinsent",canada,2014,g,113,min,"comedy, drama"
as10,3.4,movie,david's mother,robert allan ackerman,"kirstie alley, sam waterston, stockard channing",united states,1994,g,92,min,drama
as100,3.7,movie,wilder napalm,glenn gordon caron,"debra winger, dennis quaid, arliss howard, m. emmet walsh, jim varney",,1993,pg-13,109,min,"comedy, science fiction"
as1000,3.6,movie,sinbad: make me wanna holla,jay chapman,sinbad,,2014,16+,90,min,"arts, entertainment, and culture, comedy, documentary"
as1001,3.6,movie,simple gifts: the chamber music society at shaker village,habib azar,,,2016,g,84,min,documentary
as1002,3.6,tv show,simon's cat - classic collection,,,,2018,all,1,season,"animation, kids"
as1003,3.5,movie,silver wolf,peter svatek,"michael biehn, roy scheider, shane meier",,1999,g,98,min,"action, drama"
as1004,3.5,movie,silver stallion,edward f. finney,"david sharpe, janet waldo, leroy mason, thornton edwards, chief thundercloud",,1941,18+,59,min,western
as1005,3.6,movie,silver blaze,thomas bentley,"arthur wontner, ian fleming",,1937,nr,70,min,"action, suspense"
as1006,3.5,tv show,silver and gold,,,,2017,tv-nr,1,season,tv shows
as1007,3.5,tv show,silk,,"maxine peake, rupert penry-jones, neil stuke, alex jennings, phil davis, frances barber",,2014,tv-14,3,season,drama
as1008,3.5,tv show,silent witness,,"emilia fox, richard lintern, david caves",,2018,tv-ma,21,season,"drama, suspense"
as1009,3.5,movie,silent wings - the american glider pilots of wwii,robert child,"hal holbrook, walter cronkite, andy rooney, michael j. samek",,2007,7+,115,min,"documentary, special interest"
as101,3.5,tv show,wild north,,,,2014,7+,1,season,"documentary, special interest"
as1010,3.6,movie,silence patton,robert orlando,"don kruizinga, peter reznikoff",,2018,13+,85,min,documentary
as1011,3.4,movie,silence (tamil) (4k uhd),hemant madhukar,"anushka shetty, madhavan, anjali, michael madsen",,2020,16+,126,min,suspense
as1012,3.5,movie,silence (malayalam) (4k uhd),hemant madhukar,"anushka shetty, madhavan, anjali, michael madsen",,2020,16+,126,min,suspense
as1013,3.6,tv show,sigmund and the sea monsters,,"rebecca bloom, david arquette, solomon stewart, mark povinelli, eileen o’connell, drew massey, michael oosterom, victor yerrid, meegan godfrey, david crespin, kyle harrison breitkopf",,2017,7+,1,season,kids
as1014,3.5,tv show,sid the science kid,,"alice dinnean, donna kimball, drew massey, julianne buescher, victor yerrid",,2008,all,1,season,kids
as1015,3.6,movie,sick song & more nursery rhymes for kids - kiiyii,moonbug entertainment,,,2020,all,29,min,kids
as1016,3.5,movie,siberia (2018),matthew ross,"keanu reeves, molly ringwald, ana ularu, aleks paunovic",,2018,r,105,min,"action, adventure, suspense"
as1017,3.6,movie,shoutoutoutout,,,,2011,nr,35,min,music videos and concerts
as1018,3.6,movie,shottas,cess silvera,"ky-mani marley, spragga benz, louie rankin",,2002,r,99,min,"action, drama"
as1019,3.5,movie,shor se shuruaat,"rahul v. chittella, amira bhargava, annie zaidi, pratik rajen kothari, supriya sharma, arunima sharma, satish raj kasireddi",,,2016,18+,123,min,"drama, international"
as102,3.4,tv show,wild kratts,,"chris kratt, martin kratt, athena karkanis, jonathan malen, heather bambrick, zachary bennett, eva almos, cory doran, gavin kratt, aidan kratt, ronan kratt, addison holley, maya lowe, paige roughely, emilia mccarthy, zoe fraser, rachel marcus, nolan kratt, julie lemieux, amariah faulkner, christian martyn, jacob ewaniuk, jaclyn forbes, ian hanson, aiden kratt, charles vandervaart, jenna warren",,2011,tv-y,1,season,kids
as1020,3.6,tv show,shock and awe: the story of electricity,,jim al-khalili,,2011,all,1,season,documentary
as1021,3.6,tv show,shk heroforce,,"hope marie nixon, noah nixon, eden nixon, baker paffie, jordan sacchieri, emily perry, zane nixon, kenney myers, sophia clarke, elijah flanery",,2018,tv-pg,1,season,"action, kids"
as1022,3.5,movie,shivaay,ajay devgn,"ajay devgn, abigail eames, erika kaar",,2015,13+,154,min,"action, drama, international"
as1023,3.5,tv show,shipping wars,,,,2015,tv-14,4,season,"documentary, drama, unscripted"
as1024,3.5,movie,shinrin-yoku (forest bathing),mark knight,,,2019,g,60,min,"documentary, special interest"
as1025,3.6,tv show,shin chan spin-off vol.1  aliens vs. shinnosuke,,,,2016,tv-nr,1,season,anime
as1026,3.5,movie,sherlock holmes: the hound of the baskervilles,douglas hickox,"ian richardson, donald churchill, denholm elliott",,1983,13+,100,min,"action, horror, suspense"
as1027,3.5,movie,sherlock holmes & the woman in green,roy william neill,"basil rathbone, nigel bruce, hillary brooke, henry daniell, paul cavanagh, matthew boulton, eve amber, frederick worlock, tom bryson, sally shepherd, mary gordon, eve ashley, john burton, harold de becker, leslie denison, tony ellis, kay harding, alec harford, ivo henderson, tommy hughes, colin hunter, olaf hytten, boyd irwin, eric mayne, william h. o'brien, violet seaton, arthur stenning, percival vivian",,1945,13+,69,min,"drama, suspense"
as1028,3.5,movie,sherlock holmes & the secret weapon,roy william neill,"basil rathbone, nigel bruce, lionel atwill, kaaren verne, william post jr., dennis hoey, holmes herbert, mary gordon, rudolph anders, whit bissell, veda ann borg, paul bryar, john burton, vicki campbell, gerard cavin, harry cording, james craven, henry daniell, harold de becker, leslie denison, george eldredge, paul fix, leyland hodgson, guy kingsford, george burr macannan, michael mark, henry victor, harry woods",,1943,13+,71,min,"adventure, drama, suspense"
as1029,3.6,tv show,shepherd,,"lance e. nichols, kelvin harrison jr., alicia davis johnson, chelsea bryan",,2021,13+,1,season,drama
as103,3.6,movie,wild geese,andrew v. mclaglen,"richard burton, roger moore, richard harris",,2012,18+,135,min,action
as1030,3.6,movie,she's not our sister,vernon snoop robinson,"kellita smith, christian keyes, drew sidora",,2011,13+,88,min,drama
as1031,3.5,movie,shawn pelofsky: stretch it out,desmond devenish,shawn pelofsky,,2018,18+,61,min,"arts, entertainment, and culture, comedy, special interest"
as1032,3.5,tv show,shaun the sheep - the farmer's llamas,,"john sparkes, sean connolly, kate harbour, andy nyman",,2015,all,1,season,kids
as1033,3.5,tv show,shaun the sheep,,,,2012,tv-g,6,season,animation
as1034,3.6,movie,sharknado 5: global swarming,anthony c. ferrante,"ian ziering, tara reid, cassandra scerbo, billy barratt",,2017,13+,86,min,"action, comedy, horror"
as1035,3.5,movie,sharknado 4: the 4th awakens,anthony c. ferrante,"ian ziering, tara reid, david hasselhoff, gary busey, tommy davidson, cody linley, imani hakim",united states,2016,13+,85,min,"action, horror, science fiction"
as1036,3.5,movie,shark story: evolution of a master predator,christian darkin,,,2013,7+,54,min,"documentary, special interest"
as1037,3.6,movie,shapes song & more learning songs for kids - kiiyii,moonbug entertainment,,,2020,all,33,min,kids
as1038,3.6,movie,shao lin temple,hsin-yen chang,"jet li, chunhua ji, henry fong",,1982,13+,100,min,action
as1039,3.5,movie,shane mauss: mating season,jay chapman,shane mauss,,2013,18+,65,min,"arts, entertainment, and culture, comedy, special interest"
as104,3.6,movie,wild colombia revealed,mike slee,,,2016,7+,91,min,"documentary, special interest"
as1040,3.5,movie,shakuntala devi,anu menon,"vidya balan, sanya malhotra, jisshu sengupta,  amit sadh",india,2020,13+,127,min,drama
as1041,3.5,tv show,shakespeare uncovered,,"helen hunt, f. murray abraham, romola garai, brian cox, simon russell beale",,2018,tv-14,1,season,tv shows
as1042,3.6,tv show,shaitaan haveli,,"bhupesh singh, varun thakur, neha chauhan, pippa hughes, monica gupta",,2018,tv-nr,1,season,comedy
as1043,3.5,movie,shadow puppets,michael winnick,"james marsters, tony todd, marc winnick",,2007,16+,103,min,"horror, suspense"
as1044,3.4,tv show,shadow force,,bob parr,,2008,tv-pg,1,season,tv shows
as1045,3.5,movie,shadow company,"nick bicanic, jason bourque",james ashcroft,canada,2007,13+,44,min,documentary
as1046,3.6,movie,shadaa,jagdeep singh,"diljit dosanjh, neru bajwa, jagdeep sandhu",,2019,all,128,min,comedy
as1047,3.5,movie,shaadi mubarak,padmasri,"sagar rk naidu, drishya raghunath",india,2021,all,133,min,"comedy, drama"
as1048,3.4,movie,sex ed,isaac feder,"haley joel osment, lorenza izzo, kevin hernandez, retta, glen powell, castille landon, chris williams, ray santiago, abby elliott, parker young, laura harring, lamorne morris, isaac white, matt walsh",,2014,18+,92,min,"comedy, drama"
as1049,3.5,movie,seventeen (siebzhen),monja art,"elisabeth wabitsch, magdalena wabitsch, alexandra schmidt, leo plankensteiner",,2019,13+,106,min,"drama, lgbtq, romance"
as105,3.6,tv show,wild boys,,"daniel macpherson, michael dorman, alexander england, zoe ventoura, anna hutchison, jeremy sims, nathaniel dean, david field, caroline brazier, krew boylan",,2011,13+,1,season,"drama, western"
as1050,3.6,tv show,seven senses of the re’union,,"kengo takanashi, nichika ohmori, akari kito, kaito ishikawa, takuma terashima",,2018,tv-nr,1,season,tv shows
as1051,3.5,tv show,series_project_un_test_uhd,,"test actor 1, test actor 2",,2020,tv-g,1,season,"comedy, drama"
as1052,3.6,tv show,serial swindlers,,,,2018,7+,1,season,"documentary, special interest"
as1053,3.5,tv show,serbia: old and new,,laura alexandra,,2019,16+,1,season,"documentary, special interest"
as1054,3.5,movie,separate ways,howard avedis,"karen black, tony lo bianco",,1981,r,93,min,comedy
as1055,3.6,tv show,sentosha: battle wheels,,"chihara junior, masatoshi hamada",,2018,13+,1,season,"comedy, international, unscripted"
as1056,3.5,movie,sensitivity training,melissa finell,"anna lise phillips, jill alexander, quinn marcus, amy madigan, andy gala, amy vorpahl, gregory itzen, finnegan haid, michael laskin, charles haid",,2018,13+,86,min,comedy
as1057,3.6,movie,selfie dad,brad silverman,"michael jr., chonda pierce, james denton, karen abercrombie",,2020,pg,97,min,comedy
as1058,3.5,tv show,selena's secret,,"sofía lama, maya zapata, damayanti quintanar",,2018,tv-nr,1,season,drama
as1059,3.5,movie,selah and the spades,tayarisha poe,"lovie simone, jharrel jerome, celeste o’connor, jesse williams, gina torres, ana mulvoy ten, evan roe, francesca noel, henry hunter-hall, nekhebet juch, bella ferragamo, kristen ivy haynes, greyson cage, ben breault, krish bhuva, cody sloan, ali fisher, rae bell, melissa mcmeekin, ken israel",united states,2020,r,98,min,young adult audience
as106,3.6,movie,why we fight,eugene jarecki,"gore vidal, john mccain, ken adelman",,2006,pg-13,99,min,documentary
as1060,3.6,movie,"seeing, searching, being - william segal",ken burns,wiliam segal,,2010,g,74,min,documentary
as1061,3.5,tv show,seeing canada,,brandy yanchyk,,2019,13+,2,season,"documentary, special interest"
as1062,3.6,movie,seed of innocence,boaz davidson,"mary cannon, tim wead",,1980,r,92,min,drama
as1063,3.5,movie,section 375,ajay bahl,"akshaye khanna, richa chadha, meera chopra",,2019,18+,123,min,"drama, international"
as1064,3.5,tv show,secrets of the universe,,,,2015,all,1,season,"documentary, special interest"
as1065,3.5,tv show,secrets of the dead: the nero files,,jay o. sanders,,2019,tv-pg,1,season,"documentary, special interest"
as1066,3.6,movie,secrets of the dead: the lost gardens of babylon,david allen,jay o. sanders,,2014,g,55,min,documentary
as1067,3.6,tv show,secrets of the castle,,"ruth goodman, peter ginn, tom pinfold",,2014,13+,1,season,"documentary, special interest"
as1068,3.5,movie,secret valley,howard bretherton,"richard arlen, virginia grey, jack mulhall, norman willis, syd saylor, russell hicks, willie fung",,1937,all,57,min,western
as1069,3.6,tv show,secret state,,"gabriel byrne, charles dance, gina mckee, ralph ineson",,2012,tv-14,1,season,"drama, suspense"
as107,3.6,tv show,why i ran,,,,2008,tv-pg,1,season,tv shows
as1070,3.4,tv show,secret life of the hospital bed,,joe duttine,,2017,16+,1,season,"documentary, special interest"
as1071,3.5,movie,secret diary of the holocaust,alex marengo,colin tierney,,2009,16+,50,min,documentary
as1072,3.6,tv show,secret diary of a call girl,,"billie piper, iddo goldberg, cherie lunghi, lily james, ashley madekwe, joanna bobin, james d'arcy, david dawson",,2011,18+,3,season,"drama, romance"
